"","Participant","Age","Gender","Ethnicity","Familiar Yes/No","RFamiliar explain","Trait","Identity","ImageID","Rating","Identity Mean","Variance"
"70",1,23,"Female","Australian","No","NA","Trustworthiness","FD","FD010",2,3.1,1.1
"71",1,23,"Female","Australian","No","NA","Trustworthiness","FD","FD011",3,3.1,0.1
"72",1,23,"Female","Australian","No","NA","Trustworthiness","FD","FD012",3,3.1,0.1
"73",1,23,"Female","Australian","No","NA","Trustworthiness","FD","FD013",6,3.1,2.9
"74",1,23,"Female","Australian","No","NA","Trustworthiness","FD","FD014",2,3.1,1.1
"75",1,23,"Female","Australian","No","NA","Trustworthiness","FD","FD015",4,3.1,0.9
"76",1,23,"Female","Australian","No","NA","Trustworthiness","FD","FD016",3,3.1,0.1
"77",1,23,"Female","Australian","No","NA","Trustworthiness","FD","FD017",2,3.1,1.1
"78",1,23,"Female","Australian","No","NA","Trustworthiness","FD","FD018",1,3.1,2.1
"79",1,23,"Female","Australian","No","NA","Trustworthiness","FD","FD019",5,3.1,1.9
"80",1,23,"Female","Australian","No","NA","Trustworthiness","FD","FD020",4,3.1,0.9
"81",1,23,"Female","Australian","No","NA","Trustworthiness","FE","FE001",3,3.15,0.15
"82",1,23,"Female","Australian","No","NA","Trustworthiness","FE","FE002",3,3.15,0.15
"83",1,23,"Female","Australian","No","NA","Trustworthiness","FE","FE003",3,3.15,0.15
"84",1,23,"Female","Australian","No","NA","Trustworthiness","FE","FE004",3,3.15,0.15
"85",1,23,"Female","Australian","No","NA","Trustworthiness","FE","FE005",3,3.15,0.15
"86",1,23,"Female","Australian","No","NA","Trustworthiness","FE","FE006",5,3.15,1.85
"87",1,23,"Female","Australian","No","NA","Trustworthiness","FE","FE007",1,3.15,2.15
"88",1,23,"Female","Australian","No","NA","Trustworthiness","FE","FE008",1,3.15,2.15
"89",1,23,"Female","Australian","No","NA","Trustworthiness","FE","FE009",5,3.15,1.85
"90",1,23,"Female","Australian","No","NA","Trustworthiness","FE","FE010",5,3.15,1.85
"91",1,23,"Female","Australian","No","NA","Trustworthiness","FE","FE011",5,3.15,1.85
"92",1,23,"Female","Australian","No","NA","Trustworthiness","FE","FE012",3,3.15,0.15
"93",1,23,"Female","Australian","No","NA","Trustworthiness","FE","FE013",3,3.15,0.15
"94",1,23,"Female","Australian","No","NA","Trustworthiness","FE","FE014",3,3.15,0.15
"95",1,23,"Female","Australian","No","NA","Trustworthiness","FE","FE015",4,3.15,0.85
"96",1,23,"Female","Australian","No","NA","Trustworthiness","FE","FE016",3,3.15,0.15
"97",1,23,"Female","Australian","No","NA","Trustworthiness","FE","FE017",4,3.15,0.85
"98",1,23,"Female","Australian","No","NA","Trustworthiness","FE","FE018",1,3.15,2.15
"99",1,23,"Female","Australian","No","NA","Trustworthiness","FE","FE019",2,3.15,1.15
"100",1,23,"Female","Australian","No","NA","Trustworthiness","FE","FE020",3,3.15,0.15
"101",1,23,"Female","Australian","No","NA","Trustworthiness","FF","FF001",6,3.15,2.85
"102",1,23,"Female","Australian","No","NA","Trustworthiness","FF","FF002",2,3.15,1.15
"103",1,23,"Female","Australian","No","NA","Trustworthiness","FF","FF003",3,3.15,0.15
"104",1,23,"Female","Australian","No","NA","Trustworthiness","FF","FF004",3,3.15,0.15
"105",1,23,"Female","Australian","No","NA","Trustworthiness","FF","FF005",1,3.15,2.15
"106",1,23,"Female","Australian","No","NA","Trustworthiness","FF","FF006",3,3.15,0.15
"107",1,23,"Female","Australian","No","NA","Trustworthiness","FF","FF007",3,3.15,0.15
"108",1,23,"Female","Australian","No","NA","Trustworthiness","FF","FF008",3,3.15,0.15
"109",1,23,"Female","Australian","No","NA","Trustworthiness","FF","FF009",3,3.15,0.15
"110",1,23,"Female","Australian","No","NA","Trustworthiness","FF","FF010",3,3.15,0.15
"111",1,23,"Female","Australian","No","NA","Trustworthiness","FF","FF011",1,3.15,2.15
"112",1,23,"Female","Australian","No","NA","Trustworthiness","FF","FF012",4,3.15,0.85
"113",1,23,"Female","Australian","No","NA","Trustworthiness","FF","FF013",3,3.15,0.15
"114",1,23,"Female","Australian","No","NA","Trustworthiness","FF","FF014",4,3.15,0.85
"115",1,23,"Female","Australian","No","NA","Trustworthiness","FF","FF015",4,3.15,0.85
"116",1,23,"Female","Australian","No","NA","Trustworthiness","FF","FF016",2,3.15,1.15
"117",1,23,"Female","Australian","No","NA","Trustworthiness","FF","FF017",3,3.15,0.15
"118",1,23,"Female","Australian","No","NA","Trustworthiness","FF","FF018",4,3.15,0.85
"119",1,23,"Female","Australian","No","NA","Trustworthiness","FF","FF019",3,3.15,0.15
"120",1,23,"Female","Australian","No","NA","Trustworthiness","FF","FF020",5,3.15,1.85
"121",1,23,"Female","Australian","No","NA","Trustworthiness","FG","FG001",3,3.65,0.65
"122",1,23,"Female","Australian","No","NA","Trustworthiness","FG","FG002",4,3.65,0.35
"123",1,23,"Female","Australian","No","NA","Trustworthiness","FG","FG003",4,3.65,0.35
"124",1,23,"Female","Australian","No","NA","Trustworthiness","FG","FG004",4,3.65,0.35
"125",1,23,"Female","Australian","No","NA","Trustworthiness","FG","FG005",4,3.65,0.35
"126",1,23,"Female","Australian","No","NA","Trustworthiness","FG","FG006",4,3.65,0.35
"127",1,23,"Female","Australian","No","NA","Trustworthiness","FG","FG007",4,3.65,0.35
"128",1,23,"Female","Australian","No","NA","Trustworthiness","FG","FG008",3,3.65,0.65
"129",1,23,"Female","Australian","No","NA","Trustworthiness","FG","FG009",4,3.65,0.35
"130",1,23,"Female","Australian","No","NA","Trustworthiness","FG","FG010",3,3.65,0.65
"131",1,23,"Female","Australian","No","NA","Trustworthiness","FG","FG011",3,3.65,0.65
"132",1,23,"Female","Australian","No","NA","Trustworthiness","FG","FG012",3,3.65,0.65
"133",1,23,"Female","Australian","No","NA","Trustworthiness","FG","FG013",4,3.65,0.35
"134",1,23,"Female","Australian","No","NA","Trustworthiness","FG","FG014",5,3.65,1.35
"135",1,23,"Female","Australian","No","NA","Trustworthiness","FG","FG015",5,3.65,1.35
"136",1,23,"Female","Australian","No","NA","Trustworthiness","FG","FG016",4,3.65,0.35
"137",1,23,"Female","Australian","No","NA","Trustworthiness","FG","FG017",3,3.65,0.65
"138",1,23,"Female","Australian","No","NA","Trustworthiness","FG","FG018",3,3.65,0.65
"139",1,23,"Female","Australian","No","NA","Trustworthiness","FG","FG019",4,3.65,0.35
"140",1,23,"Female","Australian","No","NA","Trustworthiness","FG","FG020",2,3.65,1.65
